"date","geoid","county","state","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k"
2020-03-24,"USA-27123","Ramsey","Minnesota",2,2,0.36,0,0.14,0.03
2020-03-24,"USA-27109","Olmsted","Minnesota",2,1.88,1.18,0,0,0
2020-03-24,"USA-27103","Nicollet","Minnesota",0,0.43,1.25,0,0,0
2020-03-24,"USA-27099","Mower","Minnesota",0,0.86,2.14,0,0,0
2020-03-24,"USA-27091","Martin","Minnesota",0,1.14,5.81,0,0,0
2020-03-24,"USA-27079","Le Sueur","Minnesota",4,0.71,2.47,0,0,0
2020-03-24,"USA-27073","Lac qui Parle","Minnesota",0,0.14,2.16,0,0,0
2020-03-24,"USA-27063","Jackson","Minnesota",0,0.14,1.45,0,0,0
2020-03-24,"USA-27053","Hennepin","Minnesota",14,9.63,0.76,0,0,0
2020-03-24,"USA-27045","Fillmore","Minnesota",0,0.43,2.03,0,0,0
2020-03-24,"USA-27039","Dodge","Minnesota",1,0.43,2.05,0,0,0
2020-03-24,"USA-27037","Dakota","Minnesota",3,2,0.47,0,0,0
2020-03-24,"USA-27027","Clay","Minnesota",1,0.43,0.67,0,0,0
2020-03-24,"USA-27025","Chisago","Minnesota",0,0.29,0.5,0,0,0
2020-03-24,"USA-27021","Cass","Minnesota",0,0.14,0.48,0,0,0
2020-03-24,"USA-27019","Carver","Minnesota",0,1,0.95,0,0,0
2020-03-24,"USA-27013","Blue Earth","Minnesota",0,0.57,0.84,0,0,0
2020-03-24,"USA-27011","Big Stone","Minnesota",0,0.14,2.86,0,0,0
2020-03-24,"USA-27009","Benton","Minnesota",0,0,0,0,0,0
2020-03-24,"USA-27003","Anoka","Minnesota",0,0.57,0.16,0,0,0
2020-03-25,"USA-27999","Unknown","Minnesota",0,0.14,0,0,0,0
2020-03-25,"USA-27171","Wright","Minnesota",0,0.25,0.18,0,0,0
2020-03-25,"USA-27169","Winona","Minnesota",2,0.29,0.57,0,0,0
2020-03-25,"USA-27163","Washington","Minnesota",3,1.43,0.54,0,0,0
2020-03-25,"USA-27161","Waseca","Minnesota",0,0.29,1.54,0,0,0
2020-03-25,"USA-27157","Wabasha","Minnesota",2,0.43,1.98,0,0,0
2020-03-25,"USA-27147","Steele","Minnesota",0,0.71,1.95,0,0,0
2020-03-25,"USA-27145","Stearns","Minnesota",0,0.22,0.14,0,0,0
2020-03-25,"USA-27137","St. Louis","Minnesota",1,0.43,0.22,0,0,0
2020-03-25,"USA-27141","Sherburne","Minnesota",0,0.14,0.15,0,0,0
2020-03-25,"USA-27139","Scott","Minnesota",1,0.86,0.58,0,0,0
2020-03-25,"USA-27131","Rice","Minnesota",0,0.29,0.43,0,0,0
2020-03-25,"USA-27129","Renville","Minnesota",0,0,0,0,0,0
2020-03-25,"USA-27123","Ramsey","Minnesota",1,1.9,0.35,0,0.14,0.03
2020-03-25,"USA-27109","Olmsted","Minnesota",3,2.14,1.35,0,0,0
2020-03-25,"USA-27103","Nicollet","Minnesota",0,0.43,1.25,0,0,0
2020-03-25,"USA-27099","Mower","Minnesota",0,0.86,2.14,0,0,0
2020-03-25,"USA-27091","Martin","Minnesota",2,1,5.08,0,0,0
2020-03-25,"USA-27079","Le Sueur","Minnesota",1,0.86,2.97,0,0,0
2020-03-25,"USA-27073","Lac qui Parle","Minnesota",0,0.14,2.16,0,0,0
2020-03-25,"USA-27063","Jackson","Minnesota",0,0.14,1.45,0,0,0
2020-03-25,"USA-27053","Hennepin","Minnesota",8,11.14,0.88,0,0,0
2020-03-25,"USA-27049","Goodhue","Minnesota",1,0.14,0.31,0,0,0
2020-03-25,"USA-27045","Fillmore","Minnesota",0,0.43,2.03,0,0,0
2020-03-25,"USA-27039","Dodge","Minnesota",0,0.43,2.05,0,0,0
2020-03-25,"USA-27037","Dakota","Minnesota",0,2,0.47,0,0,0
2020-03-25,"USA-27027","Clay","Minnesota",0,0.43,0.67,0,0,0
2020-03-25,"USA-27025","Chisago","Minnesota",0,0.29,0.5,0,0,0
2020-03-25,"USA-27021","Cass","Minnesota",0,0.14,0.48,0,0,0
2020-03-25,"USA-27019","Carver","Minnesota",0,1,0.95,0,0,0
2020-03-25,"USA-27013","Blue Earth","Minnesota",0,0.57,0.84,0,0,0
2020-03-25,"USA-27011","Big Stone","Minnesota",0,0.14,2.86,0,0,0
2020-03-25,"USA-27009","Benton","Minnesota",0,0,0,0,0,0
2020-03-25,"USA-27003","Anoka","Minnesota",0,0.57,0.16,0,0,0
2020-03-26,"USA-27999","Unknown","Minnesota",0,0.14,0,1,0.14,0
2020-03-26,"USA-27171","Wright","Minnesota",2,0.43,0.31,0,0,0
2020-03-26,"USA-27169","Winona","Minnesota",2,0.57,1.13,0,0,0
2020-03-26,"USA-27167","Wilkin","Minnesota",1,0.14,2.3,0,0,0
2020-03-26,"USA-27163","Washington","Minnesota",2,1.5,0.57,0,0,0
2020-03-26,"USA-27161","Waseca","Minnesota",0,0,0,0,0,0
2020-03-26,"USA-27157","Wabasha","Minnesota",1,0.57,2.64,0,0,0
2020-03-26,"USA-27147","Steele","Minnesota",0,0.71,1.95,0,0,0
2020-03-26,"USA-27145","Stearns","Minnesota",0,0.22,0.14,0,0,0
2020-03-26,"USA-27137","St. Louis","Minnesota",2,0.71,0.36,0,0,0
2020-03-26,"USA-27143","Sibley","Minnesota",1,0.14,0.96,0,0,0
2020-03-26,"USA-27141","Sherburne","Minnesota",0,0.14,0.15,0,0,0
2020-03-26,"USA-27139","Scott","Minnesota",0,0.86,0.58,0,0,0
2020-03-26,"USA-27131","Rice","Minnesota",0,0.29,0.43,0,0,0
2020-03-26,"USA-27129","Renville","Minnesota",0,0,0,0,0,0
2020-03-26,"USA-27123","Ramsey","Minnesota",5,2.86,0.52,0,0.14,0.03
2020-03-26,"USA-27109","Olmsted","Minnesota",8,2.88,1.82,0,0,0
2020-03-26,"USA-27103","Nicollet","Minnesota",0,0.43,1.25,0,0,0
2020-03-26,"USA-27099","Mower","Minnesota",4,1.29,3.21,0,0,0
2020-03-26,"USA-27091","Martin","Minnesota",2,1.13,5.72,0,0,0
2020-03-26,"USA-27079","Le Sueur","Minnesota",0,0.86,2.97,0,0,0
2020-03-26,"USA-27073","Lac qui Parle","Minnesota",0,0.14,2.16,0,0,0
2020-03-26,"USA-27067","Kandiyohi","Minnesota",1,0.14,0.33,0,0,0
2020-03-26,"USA-27063","Jackson","Minnesota",0,0.14,1.45,0,0,0
2020-03-26,"USA-27053","Hennepin","Minnesota",17,11.88,0.94,0,0,0
2020-03-26,"USA-27049","Goodhue","Minnesota",0,0.14,0.31,0,0,0
2020-03-26,"USA-27045","Fillmore","Minnesota",0,0.43,2.03,0,0,0
2020-03-26,"USA-27039","Dodge","Minnesota",2,0.71,3.41,0,0,0
2020-03-26,"USA-27037","Dakota","Minnesota",4,2,0.47,0,0,0
2020-03-26,"USA-27027","Clay","Minnesota",1,0.57,0.89,0,0,0
2020-03-26,"USA-27025","Chisago","Minnesota",0,0.29,0.5,0,0,0
2020-03-26,"USA-27021","Cass","Minnesota",0,0.14,0.48,0,0,0
2020-03-26,"USA-27019","Carver","Minnesota",0,1,0.95,0,0,0
2020-03-26,"USA-27013","Blue Earth","Minnesota",1,0.5,0.74,0,0,0
2020-03-26,"USA-27011","Big Stone","Minnesota",0,0.14,2.86,0,0,0
2020-03-26,"USA-27009","Benton","Minnesota",0,0,0,0,0,0
2020-03-26,"USA-27003","Anoka","Minnesota",1,0.43,0.12,0,0,0
2020-03-27,"USA-27999","Unknown","Minnesota",0,0.14,0,0,0.14,0
2020-03-27,"USA-27171","Wright","Minnesota",0,0.43,0.31,0,0,0
2020-03-27,"USA-27169","Winona","Minnesota",0,0.57,1.13,0,0,0
2020-03-27,"USA-27167","Wilkin","Minnesota",0,0.14,2.3,0,0,0
2020-03-27,"USA-27163","Washington","Minnesota",7,2.11,0.8,0,0,0
2020-03-27,"USA-27161","Waseca","Minnesota",1,0.14,0.77,0,0,0
2020-03-27,"USA-27157","Wabasha","Minnesota",0,0.57,2.64,0,0,0
2020-03-27,"USA-27147","Steele","Minnesota",0,0.71,1.95,0,0,0
2020-03-27,"USA-27145","Stearns","Minnesota",0,0.22,0.14,0,0,0
2020-03-27,"USA-27137","St. Louis","Minnesota",0,0.71,0.36,0,0,0
2020-03-27,"USA-27143","Sibley","Minnesota",0,0.14,0.96,0,0,0
